hotel,is_canceled,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,room-status,room-type
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,57.6,0,0,Canceled,20-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,AUT,A,A,Transient,51.5,0,1,Canceled,04-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,AUT,A,A,Transient,51.5,0,1,Canceled,11-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,AUT,A,A,Transient,51.5,0,1,Canceled,04-12-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,32.22,0,1,Canceled,29-10-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,ITA,A,A,Transient,44.64,0,1,Canceled,20-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BEL,A,A,Transient,42.69,0,0,Canceled,13-07-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,42.69,0,0,Canceled,17-07-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,DEU,A,A,Transient,42.43,0,0,Canceled,11-11-2016,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,41.4,0,0,Canceled,07-12-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,42,0,0,Canceled,17-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,42,0,0,Canceled,17-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,34.02,0,1,Canceled,24-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,D,D,Transient,46.8,0,1,No-Show,02-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,E,E,Transient,55.8,0,1,Canceled,19-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,48,0,1,Canceled,12-12-2016,Desired,Couple
